
[Name]
pp1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Velocity [ m s^-1 ]
-1.99999988e-01, 4.33443375e-02, -1.64848030e-01, -2.27678268e+02, 3.11447084e-01, 4.51935692e+01
-2.00000003e-01, 4.24772985e-02, -1.88019097e-01, -2.24756943e+02, 3.39209139e-01, 4.51414337e+01
-2.00000018e-01, 4.44673672e-02, -1.96467593e-01, -2.23801025e+02, 3.31409305e-01, 4.51152916e+01
-2.00000003e-01, 4.47817408e-02, -1.61362559e-01, -2.28514603e+02, 2.99050570e-01, 4.52028999e+01
-2.00000003e-01, 5.08692823e-02, -1.33693486e-01, -2.36476898e+02, 2.60661602e-01, 4.53485527e+01
-2.00000003e-01, 4.98440191e-02, -1.09083399e-01, -2.46233047e+02, 2.17493027e-01, 4.55375328e+01
-2.00000003e-01, 5.24220206e-02, -1.11137196e-01, -2.45357056e+02, 2.16142356e-01, 4.55164070e+01
-2.00000003e-01, 6.66892976e-02, -1.32779837e-01, -2.34988342e+02, 2.28900999e-01, 4.52973480e+01
-1.99999988e-01, 4.77374308e-02, -1.66287720e-01, -2.27471741e+02, 3.01139086e-01, 4.51789017e+01
-2.00000003e-01, 5.42973056e-02, -1.91686094e-01, -2.24227417e+02, 3.11247855e-01, 4.51026726e+01
-1.99999988e-01, 4.90235686e-02, -2.20012173e-01, -2.22904465e+02, 3.68602037e-01, 4.50803680e+01
-2.00000003e-01, 5.22168875e-02, -2.17070356e-01, -2.23101974e+02, 3.59544069e-01, 4.50777054e+01
-2.00000003e-01, 4.37796228e-02, -2.24874839e-01, -2.22572601e+02, 6.35101259e-01, 4.50469208e+01
-2.00000003e-01, 5.14088199e-02, -2.24439442e-01, -2.22514648e+02, 3.75563800e-01, 4.50672112e+01
-2.00000003e-01, 4.93569970e-02, -2.22211838e-01, -2.22629395e+02, 3.73528391e-01, 4.50719261e+01
-2.00000003e-01, 5.08418791e-02, -2.21361056e-01, -2.22740860e+02, 3.68318766e-01, 4.50717354e+01
-2.00000003e-01, 4.94434349e-02, -1.61233068e-01, -2.28189224e+02, 2.92362332e-01, 4.51929893e+01
-2.00000003e-01, 6.87970296e-02, -1.47095174e-01, -2.30006454e+02, 2.44647890e-01, 4.52080269e+01
-2.00000018e-01, 6.84914440e-02, -1.59286112e-01, -2.27142242e+02, 2.59266615e-01, 4.51565208e+01
-2.00000003e-01, 7.99390823e-02, -1.13523804e-01, -2.40568405e+02, 2.13669628e-01, 4.54064255e+01
-1.99999988e-01, 8.56457725e-02, -1.37317076e-01, -2.32540802e+02, 2.34462261e-01, 4.52571449e+01
